# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label	X/East	Y/North	Z/Altitude
DSC01289_geotag.JPG	13.629014	58.468404	275.790000
DSC01290_geotag.JPG	13.629350	58.468407	275.720000
DSC01291_geotag.JPG	13.629686	58.468411	275.730000
DSC01292_geotag.JPG	13.630030	58.468415	275.790000
DSC01293_geotag.JPG	13.630377	58.468421	275.860000
DSC01294_geotag.JPG	13.630726	58.468425	275.850000
DSC01295_geotag.JPG	13.631075	58.468430	275.880000
DSC01296_geotag.JPG	13.631424	58.468435	275.850000
DSC01297_geotag.JPG	13.631774	58.468440	275.790000
DSC01298_geotag.JPG	13.632035	58.468445	275.660000
DSC01299_geotag.JPG	13.632385	58.468449	275.760000
DSC01300_geotag.JPG	13.632733	58.468452	275.820000
DSC01301_geotag.JPG	13.633073	58.468456	275.950000
DSC01302_geotag.JPG	13.633407	58.468460	275.830000
DSC01303_geotag.JPG	13.633761	58.468465	275.700000
DSC01304_geotag.JPG	13.634109	58.468469	275.610000
DSC01305_geotag.JPG	13.634453	58.468471	275.700000
DSC01306_geotag.JPG	13.634802	58.468475	275.700000
DSC01307_geotag.JPG	13.635066	58.468480	275.640000
DSC01308_geotag.JPG	13.635411	58.468486	275.700000
DSC01309_geotag.JPG	13.635758	58.468489	275.640000
DSC01310_geotag.JPG	13.636099	58.468494	275.700000
DSC01311_geotag.JPG	13.636452	58.468499	275.730000
DSC01312_geotag.JPG	13.636793	58.468503	275.630000
DSC01313_geotag.JPG	13.637040	58.468482	275.820000
DSC01314_geotag.JPG	13.637081	58.468392	275.790000
DSC01315_geotag.JPG	13.637122	58.468235	275.670000
DSC01316_geotag.JPG	13.637099	58.468136	275.910000
DSC01317_geotag.JPG	13.636843	58.468125	276.020000
DSC01318_geotag.JPG	13.636503	58.468106	275.640000
DSC01319_geotag.JPG	13.636163	58.468090	275.630000
DSC01320_geotag.JPG	13.635829	58.468085	275.630000
DSC01321_geotag.JPG	13.635490	58.468082	275.610000
DSC01322_geotag.JPG	13.635141	58.468080	275.640000
DSC01323_geotag.JPG	13.634796	58.468077	275.600000
DSC01324_geotag.JPG	13.634543	58.468075	275.670000
DSC01325_geotag.JPG	13.634210	58.468073	275.850000
DSC01326_geotag.JPG	13.633879	58.468070	275.910000
DSC01327_geotag.JPG	13.633537	58.468064	275.760000
DSC01328_geotag.JPG	13.633199	58.468062	275.570000
DSC01329_geotag.JPG	13.632873	58.468065	275.700000
DSC01330_geotag.JPG	13.632544	58.468061	275.690000
DSC01331_geotag.JPG	13.632208	58.468053	275.720000
DSC01332_geotag.JPG	13.631872	58.468046	275.760000
DSC01333_geotag.JPG	13.631622	58.468047	275.820000
DSC01334_geotag.JPG	13.631290	58.468048	275.700000
DSC01335_geotag.JPG	13.630953	58.468047	275.660000
DSC01336_geotag.JPG	13.630605	58.468044	275.450000
DSC01337_geotag.JPG	13.630284	58.468043	275.510000
DSC01338_geotag.JPG	13.629977	58.468039	275.580000
DSC01339_geotag.JPG	13.629751	58.468035	275.630000
DSC01340_geotag.JPG	13.629447	58.468029	275.820000
DSC01341_geotag.JPG	13.629139	58.468022	275.790000
DSC01342_geotag.JPG	13.628825	58.468017	275.760000
DSC01343_geotag.JPG	13.628499	58.468011	275.790000
DSC01344_geotag.JPG	13.628170	58.468001	275.890000
DSC01345_geotag.JPG	13.627823	58.467990	275.890000
DSC01346_geotag.JPG	13.627451	58.467970	275.540000
DSC01347_geotag.JPG	13.627182	58.467963	275.470000
DSC01348_geotag.JPG	13.626834	58.467965	275.540000
DSC01349_geotag.JPG	13.626500	58.467968	275.890000
DSC01350_geotag.JPG	13.626162	58.467967	275.760000
DSC01351_geotag.JPG	13.625813	58.467962	275.720000
DSC01352_geotag.JPG	13.625470	58.467959	275.750000
DSC01353_geotag.JPG	13.625129	58.467959	275.820000
DSC01354_geotag.JPG	13.624802	58.467963	275.580000
DSC01355_geotag.JPG	13.624571	58.467966	275.600000
DSC01356_geotag.JPG	13.624254	58.467959	275.820000
DSC01357_geotag.JPG	13.623924	58.467947	275.890000
DSC01358_geotag.JPG	13.623573	58.467939	275.790000
DSC01359_geotag.JPG	13.623220	58.467933	275.640000
DSC01360_geotag.JPG	13.622871	58.467928	275.540000
DSC01361_geotag.JPG	13.622609	58.467922	275.580000
DSC01362_geotag.JPG	13.622255	58.467914	275.690000
DSC01363_geotag.JPG	13.621907	58.467907	275.790000
DSC01364_geotag.JPG	13.621554	58.467908	275.880000
DSC01365_geotag.JPG	13.621208	58.467905	275.860000
DSC01366_geotag.JPG	13.620872	58.467903	276.010000
DSC01367_geotag.JPG	13.620701	58.467865	275.920000
DSC01368_geotag.JPG	13.620712	58.467737	276.100000
DSC01369_geotag.JPG	13.620740	58.467627	275.940000
DSC01370_geotag.JPG	13.620901	58.467580	275.880000
DSC01371_geotag.JPG	13.621213	58.467574	275.610000
DSC01372_geotag.JPG	13.621560	58.467569	275.670000
DSC01373_geotag.JPG	13.621910	58.467568	275.690000
DSC01374_geotag.JPG	13.622257	58.467571	275.700000
DSC01375_geotag.JPG	13.622608	58.467575	275.690000
DSC01376_geotag.JPG	13.622957	58.467577	275.700000
DSC01377_geotag.JPG	13.623220	58.467577	275.790000
DSC01378_geotag.JPG	13.623562	58.467581	275.770000
DSC01379_geotag.JPG	13.623910	58.467587	275.670000
DSC01380_geotag.JPG	13.624255	58.467591	275.720000
DSC01381_geotag.JPG	13.624606	58.467594	275.790000
DSC01382_geotag.JPG	13.624947	58.467597	275.800000
DSC01383_geotag.JPG	13.625295	58.467600	275.760000
DSC01384_geotag.JPG	13.625644	58.467603	275.770000
DSC01385_geotag.JPG	13.625900	58.467604	275.890000
DSC01386_geotag.JPG	13.626236	58.467607	275.830000
DSC01387_geotag.JPG	13.626577	58.467611	275.820000
DSC01388_geotag.JPG	13.626922	58.467616	275.720000
DSC01389_geotag.JPG	13.627268	58.467620	275.770000
DSC01390_geotag.JPG	13.627608	58.467622	275.800000
DSC01391_geotag.JPG	13.627953	58.467627	275.790000
DSC01392_geotag.JPG	13.628297	58.467632	275.730000
DSC01393_geotag.JPG	13.628554	58.467636	275.630000
DSC01394_geotag.JPG	13.628905	58.467638	275.700000
DSC01395_geotag.JPG	13.629252	58.467640	275.800000
DSC01396_geotag.JPG	13.629589	58.467642	275.850000
DSC01397_geotag.JPG	13.629930	58.467647	275.790000
DSC01398_geotag.JPG	13.630274	58.467651	275.850000
DSC01399_geotag.JPG	13.630614	58.467653	275.760000
DSC01400_geotag.JPG	13.630873	58.467655	275.760000
DSC01401_geotag.JPG	13.631221	58.467658	275.700000
DSC01402_geotag.JPG	13.631565	58.467662	275.660000
DSC01403_geotag.JPG	13.631906	58.467667	275.570000
DSC01404_geotag.JPG	13.632251	58.467669	275.750000
DSC01405_geotag.JPG	13.632601	58.467672	275.790000
DSC01406_geotag.JPG	13.632871	58.467675	275.750000
DSC01407_geotag.JPG	13.633227	58.467680	275.700000
DSC01408_geotag.JPG	13.633579	58.467682	275.760000
DSC01409_geotag.JPG	13.633933	58.467687	275.770000
DSC01410_geotag.JPG	13.634291	58.467690	275.770000
DSC01411_geotag.JPG	13.634558	58.467694	275.700000
DSC01412_geotag.JPG	13.634909	58.467697	275.770000
DSC01413_geotag.JPG	13.635258	58.467700	275.790000
DSC01414_geotag.JPG	13.635598	58.467704	275.750000
DSC01415_geotag.JPG	13.635950	58.467708	275.760000
DSC01416_geotag.JPG	13.636297	58.467711	275.720000
DSC01417_geotag.JPG	13.636644	58.467712	275.760000
DSC01418_geotag.JPG	13.636898	58.467714	275.760000
DSC01419_geotag.JPG	13.637086	58.467716	276.020000
DSC01420_geotag.JPG	13.637054	58.467692	275.630000
DSC01421_geotag.JPG	13.636851	58.467620	275.700000
DSC01422_geotag.JPG	13.636594	58.467529	275.910000
DSC01423_geotag.JPG	13.636320	58.467433	275.910000
DSC01424_geotag.JPG	13.636033	58.467334	275.860000
DSC01425_geotag.JPG	13.635815	58.467259	275.820000
DSC01426_geotag.JPG	13.635533	58.467163	275.800000
DSC01427_geotag.JPG	13.635246	58.467065	275.820000
DSC01428_geotag.JPG	13.634958	58.466966	275.850000
DSC01429_geotag.JPG	13.634670	58.466865	275.830000
DSC01430_geotag.JPG	13.634390	58.466768	275.730000
DSC01431_geotag.JPG	13.634110	58.466671	275.760000
DSC01432_geotag.JPG	13.633896	58.466597	275.720000
DSC01433_geotag.JPG	13.633613	58.466499	275.760000
DSC01434_geotag.JPG	13.633328	58.466402	275.700000
DSC01435_geotag.JPG	13.633045	58.466304	275.760000
DSC01436_geotag.JPG	13.632758	58.466206	275.800000
DSC01437_geotag.JPG	13.632472	58.466111	275.750000
DSC01438_geotag.JPG	13.632189	58.466012	275.770000
DSC01439_geotag.JPG	13.631978	58.465938	275.790000
DSC01440_geotag.JPG	13.631689	58.465836	275.790000
DSC01441_geotag.JPG	13.631411	58.465738	275.820000
DSC01442_geotag.JPG	13.631132	58.465642	275.790000
